# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 0
#   M reduction count: 1
#   M ignore count: 2
#   H ignore count: 3
#   L threshold: 6
#   M threshold: 7
#   H threshold: 10
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","10,0647","9,3999","5,8022","0,09","0,15","0,47","-0,06","-0,33"
3,"16,6143","16,6143","14,6867","12,852","6,1213","0,12","0,23","0,63","-0,11","-0,41"
4,"22,0407","22,0407","19,2993","16,1398","6,5422","0,12","0,27","0,7","-0,14","-0,44"
5,"27,4887","27,4887","24,1333","19,7797","9,3026","0,12","0,28","0,66","-0,16","-0,38"
6,"32,9156","32,9156","29,1547","23,6573","13,153","0,11","0,28","0,6","-0,17","-0,32"
7,"38,43","38,43","34,3884","28,1223","17,4826","0,11","0,27","0,55","-0,16","-0,28"
8,"43,9568","43,9568","39,7068","32,7801","22,1783","0,1","0,25","0,5","-0,16","-0,24"
