# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 2
#   M reduction count: 1
#   M ignore count: 1
#   H ignore count: 2
#   L threshold: 8
#   M threshold: 9
#   H threshold: 10
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","10,1092","7,3043","5,8022","0,08","0,34","0,47","-0,25","-0,14"
3,"16,6143","16,6143","14,6007","10,2722","6,1213","0,12","0,38","0,63","-0,26","-0,25"
4,"22,0407","22,0407","19,1942","14,3207","9,2602","0,13","0,35","0,58","-0,22","-0,23"
5,"27,4887","27,4887","24,0336","18,9114","13,5675","0,13","0,31","0,51","-0,19","-0,19"
6,"32,9156","32,9156","29,045","23,8771","18,2967","0,12","0,27","0,44","-0,16","-0,17"
7,"38,43","38,43","34,2596","29,014","23,2254","0,11","0,25","0,4","-0,14","-0,15"
8,"43,9568","43,9568","39,5658","34,2344","28,3571","0,1","0,22","0,35","-0,12","-0,13"
