# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 2
#   M reduction count: 1
#   M ignore count: 2
#   H ignore count: 3
#   L threshold: 7
#   M threshold: 9
#   H threshold: 10
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","9,3999","7,3043","5,8022","0,15","0,34","0,47","-0,19","-0,14"
3,"16,6143","16,6143","13,1708","8,7403","6,1213","0,21","0,47","0,63","-0,27","-0,16"
4,"22,0407","22,0407","16,9008","10,8459","6,5422","0,23","0,51","0,7","-0,27","-0,2"
5,"27,4887","27,4887","20,9183","13,9991","9,3026","0,24","0,49","0,66","-0,25","-0,17"
6,"32,9156","32,9156","25,1197","18,1249","13,153","0,24","0,45","0,6","-0,21","-0,15"
7,"38,43","38,43","29,8022","22,6939","17,4826","0,22","0,41","0,55","-0,18","-0,14"
8,"43,9568","43,9568","34,6413","27,5019","22,1783","0,21","0,37","0,5","-0,16","-0,12"
