# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 0
#   M reduction count: 0
#   M ignore count: 4
#   H ignore count: 3
#   L threshold: 7
#   M threshold: 8
#   H threshold: 10
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","9,3999","8,5123","5,8022","0,15","0,23","0,47","-0,08","-0,25"
3,"16,6143","16,6143","12,852","10,9683","6,1213","0,23","0,34","0,63","-0,11","-0,29"
4,"22,0407","22,0407","15,9822","13,3033","6,5422","0,27","0,4","0,7","-0,12","-0,31"
5,"27,4887","27,4887","19,3637","15,6757","9,3026","0,3","0,43","0,66","-0,13","-0,23"
6,"32,9156","32,9156","22,9106","18,3453","13,153","0,3","0,44","0,6","-0,14","-0,16"
7,"38,43","38,43","27,097","21,6706","17,4826","0,29","0,44","0,55","-0,14","-0,11"
8,"43,9568","43,9568","31,5155","25,5145","22,1783","0,28","0,42","0,5","-0,14","-0,08"
