# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 0
#   M reduction count: 0
#   M ignore count: 2
#   H ignore count: 2
#   L threshold: 6
#   M threshold: 8
#   H threshold: 9
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","10,0647","8,5123","7,3043","0,09","0,23","0,34","-0,14","-0,11"
3,"16,6143","16,6143","14,6867","10,9683","8,7403","0,12","0,34","0,47","-0,22","-0,13"
4,"22,0407","22,0407","19,2993","14,0958","11,697","0,12","0,36","0,47","-0,24","-0,11"
5,"27,4887","27,4887","24,1333","17,9979","15,6767","0,12","0,35","0,43","-0,22","-0,08"
6,"32,9156","32,9156","29,1547","22,4483","20,355","0,11","0,32","0,38","-0,2","-0,06"
7,"38,43","38,43","34,3884","27,3173","25,2766","0,11","0,29","0,34","-0,18","-0,05"
8,"43,9568","43,9568","39,7068","32,3904","30,3382","0,1","0,26","0,31","-0,17","-0,05"
