# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 0
#   M reduction count: 0
#   M ignore count: 2
#   H ignore count: 2
#   L threshold: 6
#   M threshold: 8
#   H threshold: 10
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","10,0647","8,5123","5,8022","0,09","0,23","0,47","-0,14","-0,25"
3,"16,6143","16,6143","14,3184","10,9683","6,1213","0,14","0,34","0,63","-0,2","-0,29"
4,"22,0407","22,0407","18,3322","14,0958","9,2602","0,17","0,36","0,58","-0,19","-0,22"
5,"27,4887","27,4887","22,5458","17,9979","13,5675","0,18","0,35","0,51","-0,17","-0,16"
6,"32,9156","32,9156","26,9686","22,4483","18,2967","0,18","0,32","0,44","-0,14","-0,13"
7,"38,43","38,43","31,71","27,3173","23,2254","0,17","0,29","0,4","-0,11","-0,11"
8,"43,9568","43,9568","36,6476","32,3904","28,3571","0,17","0,26","0,35","-0,1","-0,09"
