# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 2
#   M reduction count: 2
#   M ignore count: 1
#   H ignore count: 3
#   L threshold: 7
#   M threshold: 10
#   H threshold: 10
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","9,3999","5,8022","5,8022","0,15","0,47","0,47","-0,33","0,0"
3,"16,6143","16,6143","13,1708","7,7539","6,1213","0,21","0,53","0,63","-0,33","-0,1"
4,"22,0407","22,0407","16,9008","10,1724","6,5422","0,23","0,54","0,7","-0,31","-0,16"
5,"27,4887","27,4887","20,9183","14,0369","9,3026","0,24","0,49","0,66","-0,25","-0,17"
6,"32,9156","32,9156","25,1197","18,5281","13,153","0,24","0,44","0,6","-0,2","-0,16"
7,"38,43","38,43","29,8022","23,3576","17,4826","0,22","0,39","0,55","-0,17","-0,15"
8,"43,9568","43,9568","34,6413","28,4093","22,1783","0,21","0,35","0,5","-0,14","-0,14"
