# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 0
#   M reduction count: 1
#   M ignore count: 2
#   H ignore count: 2
#   L threshold: 6
#   M threshold: 8
#   H threshold: 10
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","10,0647","8,5123","5,8022","0,09","0,23","0,47","-0,14","-0,25"
3,"16,6143","16,6143","14,6867","10,9683","6,1213","0,12","0,34","0,63","-0,22","-0,29"
4,"22,0407","22,0407","19,2993","13,6411","9,2602","0,12","0,38","0,58","-0,26","-0,2"
5,"27,4887","27,4887","24,1333","16,938","13,5675","0,12","0,38","0,51","-0,26","-0,12"
6,"32,9156","32,9156","29,1547","20,8475","18,2967","0,11","0,37","0,44","-0,25","-0,08"
7,"38,43","38,43","34,3884","25,3249","23,2254","0,11","0,34","0,4","-0,24","-0,05"
8,"43,9568","43,9568","39,7068","30,1259","28,3571","0,1","0,31","0,35","-0,22","-0,04"
