# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 4
#   M reduction count: 2
#   M ignore count: 2
#   H ignore count: 4
#   L threshold: 9
#   M threshold: 10
#   H threshold: 11
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","9,0176","5,8022","3,8572","0,18","0,47","0,65","-0,29","-0,18"
3,"16,6143","16,6143","12,3627","6,1213","3,0563","0,26","0,63","0,82","-0,38","-0,18"
4,"22,0407","22,0407","15,6192","7,7374","2,5342","0,29","0,65","0,89","-0,36","-0,24"
5,"27,4887","27,4887","18,8928","10,0443","2,1855","0,31","0,63","0,92","-0,32","-0,29"
6,"32,9156","32,9156","22,673","13,4949","5,3149","0,31","0,59","0,84","-0,28","-0,25"
7,"38,43","38,43","27,0154","17,6401","9,0265","0,3","0,54","0,77","-0,24","-0,22"
8,"43,9568","43,9568","31,697","22,2493","13,1469","0,28","0,49","0,7","-0,21","-0,21"
