# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 0
#   M reduction count: 0
#   M ignore count: 2
#   H ignore count: 2
#   L threshold: 6
#   M threshold: 7
#   H threshold: 9
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","10,0647","9,3999","7,3043","0,09","0,15","0,34","-0,06","-0,19"
3,"16,6143","16,6143","14,6867","12,852","8,7403","0,12","0,23","0,47","-0,11","-0,25"
4,"22,0407","22,0407","19,2993","16,3617","11,697","0,12","0,26","0,47","-0,13","-0,21"
5,"27,4887","27,4887","24,1333","20,3596","15,6767","0,12","0,26","0,43","-0,14","-0,17"
6,"32,9156","32,9156","29,1547","24,682","20,355","0,11","0,25","0,38","-0,14","-0,13"
7,"38,43","38,43","34,3884","29,5099","25,2766","0,11","0,23","0,34","-0,13","-0,11"
8,"43,9568","43,9568","39,7068","34,4633","30,3382","0,1","0,22","0,31","-0,12","-0,09"
