# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 0
#   M reduction count: 0
#   M ignore count: 3
#   H ignore count: 3
#   L threshold: 7
#   M threshold: 9
#   H threshold: 10
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","9,3999","7,3043","3,8572","0,15","0,34","0,65","-0,19","-0,31"
3,"16,6143","16,6143","12,852","8,7403","3,3253","0,23","0,47","0,8","-0,25","-0,33"
4,"22,0407","22,0407","15,9822","10,1953","3,0712","0,27","0,54","0,86","-0,26","-0,32"
5,"27,4887","27,4887","19,3637","12,6929","6,4817","0,3","0,54","0,76","-0,24","-0,23"
6,"32,9156","32,9156","22,9106","16,3494","10,6124","0,3","0,5","0,68","-0,2","-0,17"
7,"38,43","38,43","27,097","20,603","15,0893","0,29","0,46","0,61","-0,17","-0,14"
8,"43,9568","43,9568","31,5155","25,1668","19,8647","0,28","0,43","0,55","-0,14","-0,12"
