# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 0
#   M reduction count: 0
#   M ignore count: 3
#   H ignore count: 3
#   L threshold: 6
#   M threshold: 8
#   H threshold: 10
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","10,0647","8,5123","5,8022","0,09","0,23","0,47","-0,14","-0,25"
3,"16,6143","16,6143","14,3184","10,9683","6,1213","0,14","0,34","0,63","-0,2","-0,29"
4,"22,0407","22,0407","18,1764","13,3033","6,5422","0,18","0,4","0,7","-0,22","-0,31"
5,"27,4887","27,4887","22,0762","16,1431","9,3026","0,2","0,41","0,66","-0,22","-0,25"
6,"32,9156","32,9156","26,044","19,6181","13,153","0,21","0,4","0,6","-0,2","-0,2"
7,"38,43","38,43","30,3058","23,7722","17,4826","0,21","0,38","0,55","-0,17","-0,16"
8,"43,9568","43,9568","34,7889","28,3261","22,1783","0,21","0,36","0,5","-0,15","-0,14"
