# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 0
#   M reduction count: 0
#   M ignore count: 3
#   H ignore count: 3
#   L threshold: 7
#   M threshold: 9
#   H threshold: 10
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","9,3999","7,3043","5,8022","0,15","0,34","0,47","-0,19","-0,14"
3,"16,6143","16,6143","12,852","8,7403","6,1213","0,23","0,47","0,63","-0,25","-0,16"
4,"22,0407","22,0407","15,9822","10,1953","6,5422","0,27","0,54","0,7","-0,26","-0,17"
5,"27,4887","27,4887","19,3637","12,6929","9,3026","0,3","0,54","0,66","-0,24","-0,12"
6,"32,9156","32,9156","22,9106","16,3494","13,153","0,3","0,5","0,6","-0,2","-0,1"
7,"38,43","38,43","27,097","20,603","17,4826","0,29","0,46","0,55","-0,17","-0,08"
8,"43,9568","43,9568","31,5155","25,1668","22,1783","0,28","0,43","0,5","-0,14","-0,07"
