pool_size,base_avg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"10,918","9,066","5,729","3,759","0,17","0,48","0,66","-0,31","-0,18"
3,"16,473","12,467","5,905","3,025","0,24","0,64","0,82","-0,4","-0,17"
4,"22,17","16,3795","8,2765","2,608","0,26","0,63","0,88","-0,37","-0,26"
5,"27,674","19,799","11,6505","6,069","0,28","0,58","0,78","-0,29","-0,2"
6,"32,834","23,377","15,716","10,138","0,29","0,52","0,69","-0,23","-0,17"
7,"38,275","27,6345","20,252","14,501","0,28","0,47","0,62","-0,19","-0,15"
8,"44,495","33,1235","25,6815","19,547","0,26","0,42","0,56","-0,17","-0,14"
9,"50,315","38,324","31,126","24,663","0,24","0,38","0,51","-0,14","-0,13"
10,"55,245","42,775","35,6505","29,216","0,23","0,35","0,47","-0,13","-0,12"
